customer_id,product_name,quantity,unit_price,order_status,order_date
760,Standing Desk,5,4050,Confirmed,2026-03-28
105,Mouse,9,499,Confirmed,2026-03-30
31,Chair,2,1800,Shipped,2026-03-28
28,Mouse,9,499,Delivered,2026-03-28
559,Mobile,7,21000,Delivered,2026-03-28
829,Desk Lamp,1,1100,Delivered,2026-03-29
285,Mobile,3,21000,Shipped,2026-03-28
95,Router,7,800,Shipped,2026-03-30
619,Webcam,5,999,Delivered,2026-03-31
128,Mobile,7,21000,Delivered,2026-03-30
644,Table,10,5999,Shipped,2026-03-26
72,Chair,1,1800,Confirmed,2026-03-28
82,Router,4,800,Shipped,2026-03-30
651,USB Hub,6,700,Shipped,2026-03-29
687,Webcam,5,999,Shipped,2026-03-30
547,Chair,4,1800,Delivered,2026-03-29
948,Desk Lamp,9,1100,Shipped,2026-03-28
787,Standing Desk,1,4050,Shipped,2026-03-28
411,Laptop,5,45000,Delivered,2026-03-30
581,Mouse,6,499,Delivered,2026-03-28
906,Standing Desk,8,4050,Delivered,2026-03-29
763,Headphones,9,2599,Confirmed,2026-03-27
920,Mobile,10,21000,Delivered,2026-03-25
142,Webcam,9,999,Confirmed,2026-03-24
882,Monitor,2,14500,Delivered,2026-03-29
697,Standing Desk,7,4050,Confirmed,2026-03-30
480,USB Hub,9,700,Shipped,2026-03-27
12,Table,2,5999,Delivered,2026-03-27
115,Router,5,800,Delivered,2026-03-25
977,Keyboard,5,895,Delivered,2026-03-29
892,Table,5,5999,Delivered,2026-03-28
166,Keyboard,9,895,Shipped,2026-03-31
20,Chair,2,1800,Shipped,2026-03-26
60,Router,4,800,Shipped,2026-03-30
836,Monitor,2,14500,Delivered,2026-03-29
970,Keyboard,9,895,Delivered,2026-03-29
622,Headphones,7,2599,Delivered,2026-03-28
707,Table,4,5999,Delivered,2026-03-27
666,USB Hub,6,700,Cancelled,2026-03-24
254,Table,4,5999,Delivered,2026-03-30
568,Webcam,4,999,Pending,2026-03-28
647,Laptop,1,45000,Pending,2026-03-28
881,Monitor,6,14500,Delivered,2026-03-30
686,Table,8,5999,Confirmed,2026-03-28
958,Table,10,5999,Confirmed,2026-03-24
827,Mouse,7,499,Delivered,2026-03-28
442,Monitor,6,14500,Pending,2026-03-25
747,USB Hub,1,700,Delivered,2026-03-30
348,Laptop,2,45000,Shipped,2026-03-28
460,Mouse,3,499,Confirmed,2026-03-25
256,Keyboard,2,895,Shipped,2026-03-24
564,Router,2,800,Delivered,2026-03-31
857,Standing Desk,1,4050,Cancelled,2026-03-30
171,Router,7,800,Delivered,2026-03-24
411,Desk Lamp,1,1100,Confirmed,2026-03-29
400,USB Hub,5,700,Pending,2026-03-24
981,Headphones,9,2599,Shipped,2026-03-24
223,Keyboard,1,895,Confirmed,2026-03-31
52,Mobile,10,21000,Shipped,2026-03-24
544,Table,3,5999,Delivered,2026-03-31
191,Table,2,5999,Pending,2026-03-30
414,Standing Desk,2,4050,Delivered,2026-03-28
635,Chair,2,1800,Delivered,2026-03-25
536,Standing Desk,6,4050,Delivered,2026-03-27
322,Mouse,4,499,Delivered,2026-03-27
661,USB Hub,5,700,Confirmed,2026-03-24
959,Webcam,2,999,Delivered,2026-03-31
577,Desk Lamp,2,1100,Delivered,2026-03-30
272,Table,3,5999,Confirmed,2026-03-26
379,Monitor,5,14500,Delivered,2026-03-29
721,Desk Lamp,5,1100,Delivered,2026-03-31
307,Standing Desk,2,4050,Delivered,2026-03-29
110,Headphones,9,2599,Confirmed,2026-03-29
216,Headphones,6,2599,Shipped,2026-03-28
271,Standing Desk,9,4050,Delivered,2026-03-24
867,Headphones,1,2599,Delivered,2026-03-30
284,Standing Desk,1,4050,Shipped,2026-03-31
653,Webcam,5,999,Delivered,2026-03-29
723,Mobile,7,21000,Shipped,2026-03-31
905,Monitor,3,14500,Pending,2026-03-31
152,Webcam,7,999,Delivered,2026-03-29
921,Laptop,1,45000,Shipped,2026-03-26
683,Mouse,2,499,Delivered,2026-03-26
896,Router,7,800,Delivered,2026-03-29
1000,Mouse,3,499,Delivered,2026-03-25
947,Laptop,6,45000,Confirmed,2026-03-25
753,Router,4,800,Delivered,2026-03-27
111,Keyboard,7,895,Delivered,2026-03-31
837,Desk Lamp,8,1100,Confirmed,2026-03-26
893,Headphones,4,2599,Delivered,2026-03-28
409,Laptop,6,45000,Delivered,2026-03-27
286,Monitor,6,14500,Cancelled,2026-03-25
550,Standing Desk,6,4050,Cancelled,2026-03-31
268,Monitor,3,14500,Delivered,2026-03-27
445,Laptop,6,45000,Confirmed,2026-03-26
524,USB Hub,2,700,Delivered,2026-03-25
46,Chair,7,1800,Confirmed,2026-03-31
552,Table,4,5999,Delivered,2026-03-26
681,USB Hub,6,700,Pending,2026-03-26
738,Standing Desk,5,4050,Delivered,2026-03-27
413,Standing Desk,5,4050,Shipped,2026-03-29
963,Mouse,7,499,Shipped,2026-03-29
416,Chair,9,1800,Delivered,2026-03-31
441,Headphones,10,2599,Shipped,2026-03-26
692,Desk Lamp,4,1100,Shipped,2026-03-24
816,Router,3,800,Delivered,2026-03-30
649,Headphones,10,2599,Delivered,2026-03-26
770,Monitor,4,14500,Delivered,2026-03-27
151,Mouse,1,499,Delivered,2026-03-31
626,Mouse,2,499,Cancelled,2026-03-24
590,USB Hub,4,700,Delivered,2026-03-25
152,Desk Lamp,1,1100,Shipped,2026-03-30
181,Router,9,800,Shipped,2026-03-24
940,Laptop,2,45000,Delivered,2026-03-24
684,Keyboard,9,895,Delivered,2026-03-26
628,Router,9,800,Delivered,2026-03-25
163,Table,8,5999,Shipped,2026-03-24
